=== BUILD_T0 2026-09-10T06:06:33Z OLEANS_BEFORE=3608
✔ [2426/2474] Built Mathlib.MeasureTheory.PiSystem (7.4s)
✔ [2427/2474] Built Mathlib.Analysis.Normed.Group.AddCircle (9.1s)
✔ [2428/2475] Built Mathlib.MeasureTheory.OuterMeasure.AE (7.6s)
✔ [2429/2475] Built Mathlib.MeasureTheory.OuterMeasure.Operations (7.0s)
✔ [2430/2479] Built Mathlib.MeasureTheory.OuterMeasure.BorelCantelli (4.9s)
✔ [2431/2479] Built Mathlib.MeasureTheory.MeasurableSpace.Constructions (8.2s)
✔ [2432/2479] Built Mathlib.Data.Set.MemPartition (2.3s)
✔ [2433/2483] Built Mathlib.Order.Filter.CountableSeparatingOn (4.3s)
✔ [2434/2483] Built Mathlib.MeasureTheory.OuterMeasure.OfFunction (6.3s)
✔ [2435/2483] Built Mathlib.Analysis.SpecialFunctions.Trigonometric.Angle (16s)
✔ [2436/2483] Built Mathlib.MeasureTheory.MeasurableSpace.MeasurablyGenerated (4.2s)
✔ [2437/2483] Built Mathlib.Analysis.Normed.Module.FiniteDimension (19s)
✔ [2438/2484] Built Mathlib.Topology.Separation.GDelta (2.2s)
✔ [2439/2484] Built Mathlib.MeasureTheory.OuterMeasure.Caratheodory (3.6s)
✔ [2440/2488] Built Mathlib.Topology.GDelta.MetrizableSpace (3.0s)
✔ [2441/2488] Built Mathlib.MeasureTheory.MeasurableSpace.Embedding (10s)
✔ [2442/2489] Built Mathlib.Analysis.RCLike.Lemmas (5.2s)
✔ [2443/2490] Built Mathlib.Order.Interval.Set.Monotone (3.0s)
✔ [2444/2490] Built Mathlib.Analysis.SpecialFunctions.Complex.Arg (9.7s)
✔ [2445/2490] Built Mathlib.MeasureTheory.MeasurableSpace.CountablyGenerated (5.0s)
✔ [2446/2493] Built Mathlib.MeasureTheory.OuterMeasure.Induced (6.1s)
✔ [2447/2494] Built Mathlib.MeasureTheory.MeasurableSpace.Prod (2.8s)
✔ [2449/2496] Built Mathlib.Topology.Metrizable.Real (2.9s)
✔ [2450/2496] Built Mathlib.Analysis.SpecialFunctions.Complex.Log (5.1s)
✔ [2451/2497] Built Mathlib.MeasureTheory.Measure.MeasureSpaceDef (6.7s)
✔ [2452/2497] Built Mathlib.Topology.IndicatorConstPointwise (2.8s)
✔ [2453/2497] Built Mathlib.Topology.Instances.Real.Lemmas (3.8s)
✔ [2454/2497] Built Mathlib.MeasureTheory.Function.AEMeasurableSequence (3.1s)
✔ [2455/2497] Built Mathlib.MeasureTheory.Measure.AEDisjoint (3.8s)
✔ [2456/2502] Built Mathlib.Analysis.SpecialFunctions.Pow.Complex (5.1s)
✔ [2457/2502] Built Mathlib.Topology.Perfect (2.8s)
✔ [2458/2504] Built Mathlib.MeasureTheory.Measure.NullMeasurable (4.9s)
✔ [2459/2504] Built Mathlib.Analysis.InnerProductSpace.Projection.Basic (20s)
✔ [2460/2504] Built Mathlib.Analysis.Normed.Group.FunctionSeries (5.2s)
✔ [2461/2504] Built Mathlib.Topology.Separation.CountableSeparatingOn (3.5s)
✔ [2462/2504] Built Mathlib.MeasureTheory.Measure.Basic (5.9s)
✔ [2463/2504] Built Mathlib.Analysis.SpecialFunctions.Pow.Real (11s)
✔ [2464/2509] Built Mathlib.Analysis.InnerProductSpace.Projection.Submodule (9.2s)
✔ [2465/2509] Built Mathlib.MeasureTheory.Measure.Continuity (4.9s)
✔ [2466/2509] Built Mathlib.Analysis.InnerProductSpace.Projection.Reflection (7.8s)
✔ [2467/2509] Built Mathlib.MeasureTheory.Measure.OuterMeasure (2.8s)
✔ [2468/2509] Built Mathlib.Topology.MetricSpace.PiNat (9.2s)
✔ [2469/2509] Built Mathlib.Analysis.Convex.SpecificFunctions.Basic (4.6s)
✔ [2470/2509] Built Mathlib.MeasureTheory.Measure.Interval (3.8s)
✔ [2471/2509] Built Mathlib.Topology.MetricSpace.CantorScheme (5.2s)
✔ [2472/2509] Built Mathlib.MeasureTheory.Measure.Module (7.1s)
✔ [2473/2509] Built Mathlib.Analysis.SpecialFunctions.Pow.NNReal (14s)
✔ [2474/2521] Built Mathlib.Analysis.InnerProductSpace.Projection.FiniteDimensional (11s)
✔ [2475/2522] Built Mathlib.Topology.MetricSpace.Polish (5.2s)
✔ [2476/2524] Built Mathlib.Order.Filter.Subsingleton (2.0s)
✔ [2477/2528] Built Mathlib.MeasureTheory.Measure.CompleteLattice (5.5s)
✔ [2478/2528] Built Mathlib.Order.Filter.EventuallyConst (3.3s)
✔ [2479/2529] Built Mathlib.Topology.MetricSpace.Perfect (4.8s)
✔ [2480/2532] Built Mathlib.MeasureTheory.Measure.Filter (5.8s)
✔ [2481/2532] Built Mathlib.SetTheory.Cardinal.ENNReal (3.7s)
✔ [2482/2534] Built Mathlib.MeasureTheory.Measure.Sum (6.1s)
✔ [2483/2534] Built Mathlib.MeasureTheory.Measure.Map (8.1s)
✔ [2484/2534] Built Mathlib.MeasureTheory.Measure.Doubling (7.1s)
✔ [2485/2534] Built Mathlib.Analysis.MeanInequalities (17s)
✔ [2486/2534] Built Mathlib.Algebra.Group.Pointwise.Set.Card (6.8s)
✔ [2487/2535] Built Mathlib.MeasureTheory.Group.Defs (3.7s)
✔ [2488/2535] Built Mathlib.MeasureTheory.Measure.AbsolutelyContinuous (5.2s)
✔ [2489/2539] Built Mathlib.MeasureTheory.Measure.Comap (5.4s)
✔ [2490/2546] Built Mathlib.Dynamics.Minimal (4.2s)
✔ [2491/2546] Built Mathlib.MeasureTheory.Measure.QuasiMeasurePreserving (7.3s)
✔ [2492/2549] Built Mathlib.GroupTheory.Complement (14s)
✔ [2493/2550] Built Mathlib.Topology.ContinuousMap.CocompactMap (5.0s)
✔ [2494/2550] Built Mathlib.Analysis.SpecialFunctions.Pow.Asymptotics (10s)
✔ [2495/2554] Built Mathlib.Order.Filter.Germ.Basic (13s)
✔ [2496/2554] Built Mathlib.MeasureTheory.Measure.Restrict (16s)
✔ [2497/2555] Built Mathlib.Analysis.Normed.Lp.ProdLp (27s)
✔ [2498/2555] Built Mathlib.Topology.Compactness.CompactlyCoherentSpace (4.4s)
✔ [2499/2555] Built Mathlib.MeasureTheory.Measure.Typeclasses.NullSingletonClass (4.8s)
✔ [2500/2555] Built Mathlib.Analysis.SpecialFunctions.Pow.Continuity (11s)
✔ [2501/2555] Built Mathlib.MeasureTheory.Measure.MutuallySingular (6.4s)
✔ [2502/2556] Built Mathlib.MeasureTheory.Measure.Typeclasses.Finite (10s)
✔ [2503/2556] Built Mathlib.Order.Filter.ENNReal (7.2s)
✔ [2504/2561] Built Mathlib.Topology.UniformSpace.CompactConvergence (8.6s)
✔ [2505/2561] Built Mathlib.MeasureTheory.Measure.Typeclasses.Probability (5.9s)
✔ [2506/2565] Built Mathlib.MeasureTheory.Measure.Typeclasses.SFinite (8.1s)
